Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10121198,El oficio de sociólogo: Presupuestos epistemológicos,Pierre Bourdieu,"Bourdieu, Pierre","Jean-Claude Chamboredon, Jean-Claude Passeron","=""9876290002""","=""9789876290005""",5.0,Siglo XXI Editores,Paperback,416,2010,1968,,2021/01/02,,,read,,,,1,0
22148764,"Systems Thinking, Critical Realism and Philosophy: A Confluence of Ideas",John Mingers,"Mingers, John",,"=""1317684621""","=""9781317684626""",4.0,Routledge,Kindle Edition,254,2014,2014,2021/02/08,2021/02/07,,,read,,,,1,0
53267603,Teoría social. Veinte lecciones introductorias,Hans Joas,"Joas, Hans",Wolfgang Knöbl,"=""8446042843""","=""9788446042846""",5.0,Akal,Paperback,576,2016,2004,2021/02/04,2021/02/03,,,read,,,,1,0
773763,Toward An Anthropological Theory of Value: The False Coin of Our Own Dreams,David Graeber,"Graeber, David",,"=""0312240457""","=""9780312240455""",4.0,Palgrave Macmillan,Paperback,350,2001,2001,2021/01/22,2021/01/06,,,read,,,,1,0
51645,Fragments of an Anarchist Anthropology (Paradigm),David Graeber,"Graeber, David",,"=""0972819649""","=""9780972819640""",4.0,Prickly Paradigm Press,Paperback,102,2004,2004,2021/01/06,2021/01/05,,,read,,,,1,0
332138,After Virtue,Alasdair MacIntyre,"MacIntyre, Alasdair",,"=""0268006113""","=""9780268006112""",4.0,University of Notre Dame Press,Paperback,304,1984,1982,2021/01/05,2021/01/05,,,read,,,,1,0
30462826,Profit and Gift in the Digital Economy,Dave Elder-Vass,"Elder-Vass, Dave",,"=""1107146143""","=""9781107146143""",5.0,Cambridge University Press,Hardcover,260,2016,,,2021/01/02,,,read,,,,1,0
53419318,Introducción heterodoxa a las ciencias sociales (Sociología y Política) (Spanish Edition),Danilo Martuccelli,"Martuccelli, Danilo",,"=""9876299905""","=""9789876299909""",4.0,Siglo XXI Editores,Kindle Edition,266,2020,,,2021/01/02,,,read,,,,1,0
1436062,The Possibility of Naturalism: A Philosophical Critique of the Contemporary Human Sciences,Roy Bhaskar,"Bhaskar, Roy",,"=""0415198747""","=""9780415198745""",5.0,Routledge,Paperback,229,1998,1979,,2021/01/02,,,read,,,,1,0
1245157,A Realist Theory Of Science,Roy Bhaskar,"Bhaskar, Roy",,"=""1844672042""","=""9781844672042""",5.0,Verso,Paperback,262,2008,1975,,2021/01/02,,,read,,,,1,0
72657,Pedagogy of the Oppressed,Paulo Freire,"Freire, Paulo","Myra Bergman Ramos, Donaldo Macedo","=""0826412769""","=""9780826412768""",4.0,Continuum,Paperback,183,2000,1968,,2021/01/02,,,read,,,,1,0
2855359,Identidad chilena (Coleccion Escafandra) (Spanish Edition) (Coleccion Escafandra),Jorge Larraín,"Larraín, Jorge",,"=""9562823997""","=""9789562823999""",4.0,,Paperback,274,2001,2014,,2021/01/02,,,read,,,,1,0
11344692,El Concepto de Ideología Vol.2,Jorge Larraín,"Larraín, Jorge",,"=""9562829960""","=""9789562829960""",5.0,LOM Ediciones,Paperback,208,2008,2008,,2021/01/02,,,read,,,,1,0
13497648,El Concepto de Ideología Vol.3,Jorge Larraín,"Larraín, Jorge",,"=""9560001043""","=""9789560001047""",5.0,LOM Ediciones,Paperback,166,2009,2009,,2021/01/02,,,read,,,,1,0
22307879,"Concepto de Ideología, El Vol. 4. Postestructuralismo, Postmodernismo y Postmarxismo (Spanish Edition)",Jorge Larraín,"Larraín, Jorge",,"=""""","=""""",5.0,LOM EDICIONES,Kindle Edition,168,2010,2010,,2021/01/02,,,read,,,,1,0
52511284,El concepto de ideología Vol 1: Marx,Jorge Larraín,"Larraín, Jorge",,"=""9562829367""","=""9789562829366""",5.0,Lom Ediciones,paperback,180,2015,,,2021/01/02,,,read,,,,1,0
19246084,Max Weber y Karl Marx,Karl Löwith,"Löwith, Karl","Cecilia Abdo Ferez, Esteban Vernik, Luis F. Aguilar Villanueva","=""8497840925""","=""9788497840927""",5.0,Gedisa,Paperback,224,2007,1932,,2021/01/02,,,read,,,,1,0
17466984,The Natural Law Foundations of Modern Social Theory: A Quest for Universalism,Daniel Chernilo,"Chernilo, Daniel",,"=""1107009804""","=""9781107009806""",4.0,Cambridge University Press,Hardcover,258,2013,2013,,2021/01/02,,,read,,,,1,0
30423479,Debating Humanity: Towards a Philosophical Sociology,Daniel Chernilo,"Chernilo, Daniel",,"=""1107129338""","=""9781107129337""",4.0,Cambridge University Press,Hardcover,262,2017,,,2021/01/02,,,read,,,,1,0
25693361,Teoría social realista: En enfoque morfogenético (Spanish Edition),Margaret S. Archer,"Archer, Margaret S.",,"=""9568421920""","=""9789568421922""",5.0,Ediciones Universidad Alberto Hurtado,Kindle Edition,452,2009,,,2021/01/02,,,read,,,,1,0
29923892,La nueva lucha de clases: Los refugiados y el terror,Slavoj Žižek,"Žižek, Slavoj",,"=""8433937081""","=""9788433937087""",0,Anagrama,Kindle Edition,107,2016,2015,,2021/01/02,,,read,,,,1,0
1330580,La Imaginacion Sociologica (Spanish Edition),C. Wright Mills,"Mills, C. Wright",,"=""8437503280""","=""9788437503288""",0.0,Fondo de Cultura Economica USA,Paperback,0,,1959,,2021/01/02,,,read,Excelente libro para introducirse a la sociología. Relevante hasta la fecha para seguir pensando en la disciplina ,,,1,0
18241184,Sanhattan - Confidencias de un lagarto en los 90,Ricardo Wurgaft,"Wurgaft, Ricardo",,"=""9563241231""","=""9789563241235""",0,Editorial Catalonia,Paperback,319,2012,2012,,2021/01/02,,,read,,,,1,0
1212515,El mundo de Sofía,Jostein Gaarder,"Gaarder, Jostein",,"=""8478443223""","=""9788478443222""",0.0,"Ediciones Siruela, S.A.",Paperback,638,1998,1991,,2021/01/02,,,read,Extraordinario libro para cualquier adolescente que quiera adentrarse en la filosofía. Simplemente maravilloso ,,,1,0
3155750,El arte de amar: una investigación sobre la naturaleza del amor,Erich Fromm,"Fromm, Erich",Noemi Rosenblatt,"=""9688530891""","=""9789688530894""",0,Paidós,Paperback,128,1959,1956,,2021/01/02,,,read,,,,1,0
